FeedRate,SpindleSpeed,DepthofCut,ratio_cut,Cut_X,Cut_Y,Cut_Z,Cut_XY,Cut_XYZ,Duration,cutdirect,cutmethod
110.0642857,1502.97619,1,1.402797631,15.475,0,0,15.475,15.475,8.39,1,3
140.3076923,1501.191142,1,1.726008986,10.238,0,0,10.238,10.238,4.28,1,3
151.7560193,1502.370787,1,1.402797631,15.475,0,0,15.475,15.475,6.22,1,3
75.7675841,1499.917431,1,2.792509886,3.703,1.534,0,4.113017924,4.113017924,3.26,3,3
75.30834341,1500.862152,0,1.726008986,10.238,0,0,10.238,10.238,8.26,1,3
71.50776053,1503.678492,0,2.519290269,0,5.475,0,5.475,5.475,4.5,2,3
75.01057771,1503.174125,0,1.402797631,15.475,0,0,15.475,15.475,12.28,1,3
75.77448071,1502.709199,0,1.436734483,1.534,3.703,0,4.113017924,4.113017924,3.36,3,3
75.98553758,1504.316841,1.5,0.955163748,0,66.574,0,66.574,66.574,52.54,2,2
75.52700261,1502.14997,1.5,1.001506307,0,63.176,0,63.176,63.176,49.8,2,1
75.98474814,1502.056392,1.5,1.001661403,0,63.176,0,63.176,63.176,49.82,2,2
101.9726321,1502.434398,1.5,1.001661403,0,63.176,0,63.176,63.176,37.26,2,1
101.1563501,1503.300961,1.5,1.001661403,0,63.176,0,63.176,63.176,37.47,2,2
125.6121495,1502.848465,1.5,1.001582607,0,63.176,0,63.176,63.176,29.95,2,1
126.9574254,1502.975863,1.5,1.001661403,0,63.176,0,63.176,63.176,29.82,2,2
150.1738086,1503.056868,1.5,1.001661403,0,63.176,0,63.176,63.176,24.96,2,1
151.9388084,1502.518519,1.5,1.001661403,0,63.176,0,63.176,63.176,24.83,2,2
151.939127,2998,1.5,1.001582607,0,63.176,0,63.176,63.176,24.96,2,1
151.939127,2997.875851,1.5,1.001661403,0,63.176,0,63.176,63.176,24.96,2,2
200.6478122,2998,1.5,1.001661403,0,63.176,0,63.176,63.176,18.73,2,1
202.9296917,2998,1.5,1.001661403,0,63.176,0,63.176,63.176,18.48,2,2
248.9934297,2997.612352,1.5,1.001661403,0,63.176,0,63.176,63.176,15.21,2,1
247.4525213,2997.423707,1.5,1.001661403,0,63.176,0,63.176,63.176,15.26,2,2
297.7033493,2997.76874,1.5,1.005496139,0,63.176,0,63.176,63.176,12.53,2,1
297.3149606,2997.031496,1.5,1.001661403,0,63.176,0,63.176,63.176,12.69,2,2
304.7548232,2997.77492,1.5,1.001661403,0,63.176,0,63.176,63.176,12.43,2,1
304.7577442,2997.769658,1.5,1.001661403,0,63.176,0,63.176,63.176,12.58,2,2
304.7573588,2998,1.5,0.946201931,0,63.176,0,63.176,63.176,12.56,2,1
75.58369668,2998,1.5,0.955163748,0,66.574,0,66.574,66.574,52.74,2,2
221.6572104,4499.810875,1.5,1.001506307,0,63.176,0,63.176,63.176,16.91,2,1
224.4937388,4500,1.5,1.001661403,0,63.176,0,63.176,63.176,16.76,2,2
303.6795886,4500,1.5,1.001661403,0,63.176,0,63.176,63.176,12.63,2,1
299.2065391,4500,1.5,1.001661403,0,63.176,0,63.176,63.176,12.53,2,2
376.090999,4500,1.5,1.001582607,0,63.176,0,63.176,63.176,10.1,2,1
380.6143725,4500,1.5,1.001661403,0,63.176,0,63.176,63.176,9.87,2,2
256.8261164,4500,1.5,1.001661403,0,63.176,0,63.176,63.176,14.77,2,1
256.8249319,4500,1.5,1.001661403,0,63.176,0,63.176,63.176,14.67,2,2
297.2231076,5999,1.5,1.001582607,0,63.176,0,63.176,63.176,12.54,2,1
304.7538337,5998.76594,1.5,1.001661403,0,63.176,0,63.176,63.176,12.38,2,2
393.5919235,5998.68119,1.5,1.001661403,0,63.176,0,63.176,63.176,9.4,2,1
402.4633891,5998.686192,1.5,1.001661403,0,63.176,0,63.176,63.176,9.55,2,2
254.0374332,5998.792781,1.5,1.001661403,0,63.176,0,63.176,63.176,14.95,2,1
257.8257934,5998.804186,1.5,1.001661403,0,63.176,0,63.176,63.176,14.8,2,2
609.0065147,5999,1.5,1.005496139,0,63.176,0,63.176,63.176,6.13,2,1
582.9923664,5998.572519,1.5,1.001661403,0,63.176,0,63.176,63.176,6.54,2,2
609.0224359,5998.487179,1.5,1.001661403,0,63.176,0,63.176,63.176,6.23,2,1
559.2378049,5998.557927,1.5,1.001661403,0,63.176,0,63.176,63.176,6.55,2,2
